# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14555
#@/user_id	95b5c598-e3d7-4e3e-99a8-9ddd8ef1376f
a 	啊	c=37 d=1.81578 t=13528
zuo chu 	作出	c=0 d=0.1 t=10852
zuo chu ge 	作出個	c=1 d=1 t=10853
zuo de 	做的	c=1 d=1 t=10863
zuo mian 	左面	c=1 d=1 t=13401
zuo tian 	昨天	c=1 d=1 t=12261
zuo wei 	作爲	c=2 d=1.04856 t=11743
zuo yong 	作用	c=5 d=1.26101 t=6384
zuo yong xia 	作用下	c=3 d=1.0011 t=4204
zuo you 	左右	c=9 d=4.54151 t=12672
zuo zhe 	作者	c=4 d=1.95026 t=13909
